W,mau,dich,n,lift,z,p_tho,p_wy,p_wy_xoay,p_wy_k5,q_fdr
4,MEDIUM → LOW → MEDIUM → HIGH,MEDIUM,101,1.5671453333028535,4.101549175662046,4.103932641963404e-05,1.0,0.051,1.0,8.618258548123147e-05
3,HIGH → HIGH → LOW,MEDIUM,90,1.5962877450314636,4.069849983177421,4.704342013650553e-05,1.0,0.057,1.0,9.817757245879416e-05
4,LOW → HIGH → HIGH → HIGH,HIGH,53,1.779656037890462,4.067205169406438,4.758034924590149e-05,1.0,0.057,1.0,9.868516880631419e-05
4,HIGH → HIGH → LOW → HIGH,HIGH,23,2.178627839863188,4.0503794662216785,5.1134643690886605e-05,1.0,0.059,1.0,0.00010540638208673558
3,LOW → HIGH → MEDIUM,HIGH,226,0.6256907678633535,-4.033831249181709,5.487473279774946e-05,1.0,0.066,1.0,0.00011242628182953548
4,MEDIUM → MEDIUM → MEDIUM → LOW,MEDIUM,468,1.2588879950688998,4.0302103299725065,5.5726965517921556e-05,1.0,0.069,1.0,0.00011348036614558571
4,HIGH → LOW → MEDIUM → HIGH,HIGH,39,1.8894585338179983,3.980275279279436,6.88355098112936e-05,1.0,0.08,1.0,0.00013932970660599186
4,LOW → HIGH → HIGH → HIGH,LOW,53,0.2361650266317595,-3.8109268416638353,0.00013844673840290866,1.0,0.12,1.0,0.00027855152157710966
4,MEDIUM → LOW → LOW → LOW,MEDIUM,647,0.792812804571754,-3.7923457483704066,0.0001492309454407259,1.0,0.125,1.0,0.0002984618908814518
3,MEDIUM → LOW → LOW,MEDIUM,1014,0.835636683336722,-3.7655215417095267,0.00016620179263426849,1.0,0.131,1.0,0.0003304367001486048
3,MEDIUM → LOW → HIGH,MEDIUM,155,1.4186889109891216,3.7502357585643264,0.00017666838897034687,1.0,0.134,1.0,0.0003491798746708032
2,HIGH → LOW,MEDIUM,364,1.27301640366967,3.7467017598466237,0.00017917489987806512,1.0,0.134,1.0,0.00035206296116391744
3,LOW → LOW → MEDIUM,MEDIUM,925,1.1696131497516802,3.711347741252298,0.00020615865927320343,1.0,0.144,1.0,0.00040272854369649043
4,LOW → LOW → MEDIUM → LOW,MEDIUM,482,0.7662321927006345,-3.69318527649673,0.00022146254869004345,1.0,0.149,1.0,0.00043012379398759884
3,MEDIUM → HIGH → LOW,MEDIUM,159,1.4014386055724826,3.6418240557984514,0.0002707130756516296,1.0,0.166,1.0,0.0005227562840169399
4,LOW → LOW → MEDIUM → HIGH,MEDIUM,74,1.5844011878237059,3.6175939857145103,0.0002973543681832336,1.0,0.176,1.0,0.0005709203869118085
