pair,Date,rv_kiem,n_o,j_bcl,j_tho,n_nhay_bcl,n_nhay_tho,ti_chuky
AUDUSD,2025-04-29,4.9152516247600685e-05,287,5.78560062596647e-06,1.0004476622062103e-05,3,4,1.0339310542421345
AUDUSD,2025-04-30,4.765015131410544e-05,286,6.337779976296432e-06,1.0834070687809174e-05,1,3,0.8443126096419079
AUDUSD,2025-05-01,5.495797505131861e-05,287,1.2767771475788246e-05,1.3773632122552207e-05,3,3,1.165109838613042
AUDUSD,2025-05-02,5.4606727149420936e-05,251,2.5300681836203034e-06,9.306010836474108e-06,1,3,0.9852901561812447
AUDUSD,2025-05-05,4.072307954232936e-05,287,4.963422629005208e-06,1.1846196554174129e-05,3,7,1.282395461032989
AUDUSD,2025-05-06,4.571687583640932e-05,287,7.623396760272429e-06,3.081854337185208e-06,5,1,1.3106831056944392
AUDUSD,2025-05-07,6.130665479337956e-05,287,1.4576528335829077e-05,1.3103263454957108e-05,4,3,0.9698126823904051
AUDUSD,2025-05-08,4.836063219572142e-05,287,2.4268244493611836e-06,7.669518055911817e-06,1,4,0.8938820344898325
AUDUSD,2025-05-09,2.8115820264002945e-05,251,4.376693402716715e-06,3.280386240563979e-06,3,2,1.0411282756465088
AUDUSD,2025-05-12,7.102568536747274e-05,287,1.6989236806821263e-05,1.548641869495369e-05,4,3,1.1861735712761776
AUDUSD,2025-05-13,4.167941435247294e-05,287,3.558496952076754e-06,2.638084822361692e-06,2,1,1.065404567109495
AUDUSD,2025-05-14,4.776451283660918e-05,287,2.4634234681557727e-06,6.099816838474554e-06,1,2,0.8959713078395297
AUDUSD,2025-05-15,4.649591864317195e-05,287,1.1631714521246419e-06,8.33637440140872e-06,1,2,0.8585636407556563
AUDUSD,2025-05-16,2.6750995130764433e-05,251,0.0,0.0,0,0,0.8828373373284071
AUDUSD,2025-05-19,2.284743564663609e-05,287,0.0,8.459498420599218e-07,0,1,1.1068146223992597
AUDUSD,2025-05-20,3.087253517267376e-05,287,7.962485492673272e-06,7.962485492673272e-06,4,4,1.0390377300764186
AUDUSD,2025-05-21,3.374586602476383e-05,286,1.96584870255222e-06,0.0,2,0,1.0714199341331256
AUDUSD,2025-05-22,2.5452376441810178e-05,287,4.870289747814531e-07,1.0597312706439332e-06,1,1,0.8268796663365555
AUDUSD,2025-05-23,3.522122624649671e-05,251,9.263913447287252e-06,1.3519822312210331e-05,4,7,0.8761346810647518
AUDUSD,2025-05-26,1.8868103196999844e-05,287,2.0373417302533894e-06,2.0373417302533894e-06,1,1,1.2137489606419067
AUDUSD,2025-05-27,3.2475927725026734e-05,287,2.2086273259167317e-06,6.047677245498948e-06,2,4,0.9630475416985428
AUDUSD,2025-05-28,5.281137287965847e-05,287,2.232349755725447e-05,2.53681975714273e-05,10,12,1.124508686613598
AUDUSD,2025-05-29,4.431170660477994e-05,287,4.045472010960949e-06,8.62243265413114e-06,1,3,0.7991607944199604
AUDUSD,2025-05-30,3.913202147906456e-05,251,0.0,6.533736094960303e-06,0,3,0.818734896699174
AUDUSD,2025-06-02,2.7846921250941917e-05,287,1.519137242759942e-06,1.519137242759942e-06,1,1,1.2688179367057297
AUDUSD,2025-06-03,4.2023218287682906e-05,287,1.621853624041799e-05,1.7669873207333602e-05,7,7,1.4134750329034715
AUDUSD,2025-06-04,2.6498285334180656e-05,287,1.6765015209339965e-06,3.285259681002383e-06,1,2,0.9351592901910367
AUDUSD,2025-06-05,2.3555568255219868e-05,287,0.0,3.6589536414306293e-06,0,3,0.8888898809439642
AUDUSD,2025-06-06,3.337673807724284e-05,251,0.0,7.891675989350575e-06,0,3,0.7456010200602312
AUDUSD,2025-06-09,1.9946382982540065e-05,287,2.920088087609034e-06,1.7041555524060098e-06,4,1,1.4550557966121171
AUDUSD,2025-06-10,3.061031983344077e-05,286,2.655789186349976e-06,1.3640772730175669e-06,3,1,1.0152706273017085
AUDUSD,2025-06-11,5.800256778964721e-05,287,2.5158731003247953e-05,2.9017192331927725e-05,1,3,0.7617410859969002
AUDUSD,2025-06-12,3.685452245084931e-05,287,3.924223692648482e-06,7.3249488982789086e-06,3,5,0.8550536410364354
AUDUSD,2025-06-13,8.842301388960636e-05,251,2.257387895022691e-05,2.257387895022691e-05,3,3,0.995501390254272
AUDUSD,2025-06-16,3.2035461231217106e-05,287,1.2303873678394388e-06,0.0,1,0,1.3763486525426214
AUDUSD,2025-06-17,4.164048248891632e-05,287,2.493598220660512e-06,2.493598220660512e-06,1,1,1.014706356967445
AUDUSD,2025-06-18,5.365938640672787e-05,287,1.894105160034783e-05,1.8251786258981478e-05,6,5,0.9596997178512787
AUDUSD,2025-06-19,4.242757024145431e-05,287,1.1510142022060612e-05,1.0982531608056754e-05,4,3,1.0329818766150745
AUDUSD,2025-06-20,2.6578959952164365e-05,251,1.4827436650284058e-06,1.4827436650284058e-06,1,1,0.898139539663872
AUDUSD,2025-06-23,5.724391001921517e-05,287,2.93426330677163e-06,6.324244349481662e-06,1,2,1.410708308894819
AUDUSD,2025-06-24,3.6084923450340517e-05,287,4.490329671157773e-06,6.0476107417553054e-06,2,3,0.8926282062450145
AUDUSD,2025-06-25,2.779277836140445e-05,287,0.0,0.0,0,0,1.038929960570945
AUDUSD,2025-06-26,3.3635416014850565e-05,287,0.0,0.0,0,0,0.8650103932311788
AUDUSD,2025-06-27,2.923422613670319e-05,251,1.6983600842492868e-06,3.4724659253115846e-06,1,2,0.9935188237953001
AUDUSD,2025-06-30,2.4085080863762007e-05,287,3.6506267586931433e-06,2.2460341545861356e-06,3,1,1.310881042687252
AUDUSD,2025-07-01,4.071207465095659e-05,287,1.4279198751826297e-05,1.8995800244123947e-05,2,7,1.4489483017206954
AUDUSD,2025-07-02,3.016490337725783e-05,287,8.685926546016314e-06,1.2833964565565685e-05,3,8,0.78060164508573
AUDUSD,2025-07-03,5.487980740559219e-05,287,3.530940615109877e-05,3.8890667303763884e-05,5,10,0.5390617270451143
AUDUSD,2025-07-04,1.631765749529784e-05,251,0.0,1.7559592750025758e-06,0,2,0.9620020073572413
AUDUSD,2025-07-07,3.468743984238813e-05,287,9.995722483119163e-06,1.0211510847582271e-05,6,6,1.4912209898417546
AUDUSD,2025-07-08,6.827827640552439e-05,287,2.698044537850602e-05,3.476172429490228e-05,4,7,1.0587041860032862
