Date,rv5,rq5,bpv5,rsp,rsn,n5,pair
2014-08-03,2.0398569094007501e-07,5.6562485657854126e-14,1.996808528338253e-07,1.3055014671347005e-07,7.343554422660493e-08,35,USDCAD
2014-08-04,2.8102567748309306e-06,1.1631489820185188e-11,2.563854960699224e-06,1.2508455404321854e-06,1.5594112343987451e-06,287,USDCAD
2014-08-05,8.686620296744399e-06,2.955637898949602e-10,6.749489937770251e-06,5.807115396430789e-06,2.8795049003136107e-06,287,USDCAD
2014-08-06,6.372489138251451e-06,2.7808100016909835e-10,4.806749660033909e-06,1.6817311747060885e-06,4.690757963545364e-06,287,USDCAD
2014-08-07,5.978669896504026e-06,6.667657516407791e-11,5.516222214463605e-06,3.1787393052734768e-06,2.7999305912305507e-06,286,USDCAD
2014-08-08,2.1524799651510745e-05,1.6478463410210373e-08,8.840247048386472e-06,1.7767741616856844e-05,3.757058034653901e-06,251,USDCAD
2014-08-10,3.426634286495108e-07,1.7531198173837457e-13,3.408052741032657e-07,1.876586018839324e-07,1.5500482676557848e-07,35,USDCAD
2014-08-11,5.389696500987517e-06,5.2477629453231655e-11,5.166938838305166e-06,2.158410614101881e-06,3.231285886885637e-06,287,USDCAD
2014-08-12,7.207424874355203e-06,6.039749984715878e-10,5.212368833166654e-06,2.1667114069026034e-06,5.040713467452599e-06,287,USDCAD
2014-08-13,8.168201772635796e-06,1.6985259354766796e-10,7.875952272232463e-06,4.436631021711195e-06,3.731570750924601e-06,287,USDCAD
2014-08-14,5.139287050522856e-06,4.1356191479756113e-11,5.530311399687382e-06,2.671000287588899e-06,2.468286762933957e-06,287,USDCAD
2014-08-15,1.54889410644975e-05,1.6158895857184351e-09,1.4294908677090392e-05,7.554589250755719e-06,7.934351813741783e-06,251,USDCAD
2014-08-17,1.7677709495968049e-07,4.31290985777073e-14,1.0951600999987074e-07,1.3924565168213853e-07,3.753144327754195e-08,35,USDCAD
2014-08-18,4.6575632755324855e-06,7.210152639007107e-11,3.96003945075931e-06,2.602400826173933e-06,2.0551624493585527e-06,287,USDCAD
2014-08-19,5.54462349302224e-06,1.3144035714164336e-10,4.527231486829972e-06,4.010440137125768e-06,1.534183355896472e-06,287,USDCAD
2014-08-20,8.96501751335902e-06,1.6768210166288375e-10,7.773682610608986e-06,4.9642695483202455e-06,4.000747965038775e-06,287,USDCAD
2014-08-21,4.622712267838588e-06,3.130429268167614e-11,3.975534540694601e-06,1.756141931741358e-06,2.8665703360972303e-06,287,USDCAD
2014-08-22,9.819389693280046e-06,3.379238166910605e-10,7.679218586513875e-06,4.971764697135873e-06,4.847624996144173e-06,251,USDCAD
2014-08-24,5.694880430114604e-07,2.8455837649706173e-13,5.956242186968754e-07,3.152617487198781e-07,2.542262942915824e-07,35,USDCAD
2014-08-25,5.902180023938929e-06,7.335892424651933e-11,5.345292436614805e-06,3.486652405091743e-06,2.415527618847185e-06,287,USDCAD
2014-08-26,7.807612857999841e-06,1.2865660367967938e-10,6.4413652921166845e-06,3.2563446583845462e-06,4.551268199615294e-06,287,USDCAD
2014-08-27,1.8437613059509875e-05,1.5004277974836151e-09,1.4285237113808258e-05,5.2847414657088695e-06,1.3152871593801007e-05,287,USDCAD
2014-08-28,8.439366530166317e-06,1.6972837772206514e-10,7.224574676155543e-06,4.513153761732796e-06,3.92621276843352e-06,287,USDCAD
2014-08-29,1.4116765050993434e-05,1.543264515513728e-09,1.1983739073173669e-05,6.40680365274083e-06,7.709961398252605e-06,251,USDCAD
2014-08-31,4.380660381894913e-07,2.208918221792221e-13,4.6746290826721633e-07,2.7647795054083665e-07,1.615880876486546e-07,35,USDCAD
