pair,Date,n_bin,rv_kiem,hhi,top1,top12
GBPUSD,2012-07-30,287,1.3247764323556317e-05,0.01909115373831826,0.05998583593104207,0.3798909739880364
GBPUSD,2012-07-31,287,1.6215925653659164e-05,0.028973960310212318,0.09836250767321214,0.439921699740225
GBPUSD,2012-08-01,287,3.059116692674041e-05,0.05048787302043693,0.14734945699479926,0.5264200478615322
GBPUSD,2012-08-02,287,3.872650164282515e-05,0.03427353522198877,0.08721834214549068,0.5516358051810111
GBPUSD,2012-08-03,251,3.422245103418886e-05,0.06074679663884209,0.1637983980452172,0.5827396905699533
GBPUSD,2012-08-06,287,2.3144919647022086e-05,0.03372300111625899,0.14726604379862296,0.4388696107511718
GBPUSD,2012-08-07,287,1.653791151014439e-05,0.016174249862723394,0.04134196822205552,0.36357767724901324
GBPUSD,2012-08-08,287,2.5934478319223736e-05,0.10044326394926882,0.29788723990199034,0.5819486879768664
GBPUSD,2012-08-09,287,1.3372724148181242e-05,0.019922486641663614,0.05979557822662268,0.3964878537573282
GBPUSD,2012-08-10,251,1.9065350309070388e-05,0.03139114174584598,0.1040811602633596,0.4896110528445864
GBPUSD,2012-08-13,287,1.1538214937441647e-05,0.02070622236995403,0.07498181815160491,0.40398384214541916
GBPUSD,2012-08-14,287,1.117037857613809e-05,0.023608509225381106,0.07743416746982662,0.4447013797191698
GBPUSD,2012-08-15,287,1.0835506448312766e-05,0.02734196526149756,0.11490628006065534,0.4259699954953682
GBPUSD,2012-08-16,287,1.2422405627007454e-05,0.04648113453694215,0.16859146402283826,0.5324030301336273
GBPUSD,2012-08-17,251,1.404927268802077e-05,0.016592168893409576,0.059035210046857696,0.3399279573190458
GBPUSD,2012-08-20,287,7.681522515704058e-06,0.01781908022109254,0.06046080873017446,0.3568774124934421
GBPUSD,2012-08-21,287,1.0190097306657807e-05,0.02216559470343525,0.06490308057033851,0.43464074622011767
GBPUSD,2012-08-22,287,1.8973107419881227e-05,0.03974992323904941,0.14258949799802761,0.5298927129003639
GBPUSD,2012-08-23,287,1.2762388116048788e-05,0.02169369865650239,0.07448914221524112,0.39892834965802193
GBPUSD,2012-08-24,251,1.2412858208182067e-05,0.03727600457821237,0.13789864045200337,0.4722078042943485
GBPUSD,2012-08-27,287,4.834921120208501e-06,0.018173902379563702,0.06266649481416381,0.36458131096268187
GBPUSD,2012-08-28,287,1.0565380829605059e-05,0.015604215646025044,0.04676455632721082,0.3483968238311934
GBPUSD,2012-08-29,287,8.716013337400563e-06,0.02813461292038876,0.07964036696006496,0.4622126679655858
GBPUSD,2012-08-30,287,1.0078099533412793e-05,0.026135414827038968,0.0894471964962071,0.4444472396494818
GBPUSD,2012-08-31,251,2.9595884816121583e-05,0.07879018527431812,0.23902770224233433,0.6262313707184528
GBPUSD,2012-09-03,287,1.202122891111141e-05,0.0781441296059506,0.2404793969768557,0.594010491404441
GBPUSD,2012-09-04,287,1.054531500548959e-05,0.051636910791873554,0.19020136618251066,0.5182599615490495
GBPUSD,2012-09-05,287,1.5748197917429115e-05,0.09018742466676014,0.27990769878558003,0.5564200621133272
GBPUSD,2012-09-06,287,1.3319413558204055e-05,0.038337805174390505,0.10913225338965707,0.5423599677305416
GBPUSD,2012-09-07,251,1.4167179032901546e-05,0.026615158601567636,0.08193377279608156,0.4604874556062484
GBPUSD,2012-09-10,286,8.878730744060697e-06,0.01816525965632286,0.057204557787849664,0.3730485824785105
GBPUSD,2012-09-11,287,9.218096205357593e-06,0.028406797634434707,0.10233009510939432,0.46727411851594647
GBPUSD,2012-09-12,287,1.2420476614345018e-05,0.02237947286127132,0.07956755324200035,0.4305789097972669
GBPUSD,2012-09-13,287,2.1134627170202e-05,0.0948699532342638,0.2847152457669283,0.5678862980959438
GBPUSD,2012-09-14,251,1.4748410757749547e-05,0.022439162026127092,0.10498128721623512,0.37389315829736863
GBPUSD,2012-09-17,287,9.435116768157303e-06,0.018972384258320135,0.05417037626612468,0.3908887044430336
GBPUSD,2012-09-18,287,9.157166851571812e-06,0.01848840163232774,0.05278883581018446,0.38345408431669037
GBPUSD,2012-09-19,287,1.0946223445184942e-05,0.019832849543682286,0.07610430179755426,0.392370686321337
GBPUSD,2012-09-20,287,1.3723565330148877e-05,0.015298295579108175,0.048495612524024706,0.3302506779488873
GBPUSD,2012-09-21,251,1.6973939933552786e-05,0.031480029173877926,0.1010298816326266,0.4943298522554257
GBPUSD,2012-09-24,287,1.2475337755657473e-05,0.020120864134298665,0.06491548257121581,0.3980977095947322
GBPUSD,2012-09-25,287,1.1360126572274285e-05,0.01463303021730832,0.04199914319980188,0.3291610723122482
GBPUSD,2012-09-26,287,1.3945413902766881e-05,0.01920853452307423,0.06774129776470991,0.38467870080831107
GBPUSD,2012-09-27,287,1.5162219625275528e-05,0.025972139895079193,0.09747197041163129,0.4341740864928592
GBPUSD,2012-09-28,251,1.774533473868672e-05,0.016804866075338553,0.04720080738525834,0.35144713021969254
GBPUSD,2012-10-01,287,1.2092469932268235e-05,0.04969366080214614,0.19817415405012073,0.4648750163505675
GBPUSD,2012-10-02,287,1.370223165548822e-05,0.03648234887975636,0.14789144869071363,0.47298200918900374
GBPUSD,2012-10-03,287,1.3100604491851989e-05,0.020601712034331025,0.05789574112230933,0.4097528421634752
GBPUSD,2012-10-04,287,1.4280695489195019e-05,0.02632391197599812,0.08348127925690042,0.4338683636138299
GBPUSD,2012-10-05,251,9.841397270824006e-06,0.022929670401840956,0.09305166066288362,0.38057667111085824
GBPUSD,2012-10-08,287,1.0111829184173751e-05,0.014294749599354478,0.03902773197276341,0.31759035722732476
GBPUSD,2012-10-09,287,1.0149410309022531e-05,0.01611825860970911,0.05531610165496501,0.33130940047467167
GBPUSD,2012-10-10,287,1.0056448293968956e-05,0.014425334148221277,0.040476231017198286,0.3172365423015934
GBPUSD,2012-10-11,287,9.304972407188252e-06,0.015658188262360335,0.07075456604583662,0.30953304355610023
GBPUSD,2012-10-12,251,1.2751772756519803e-05,0.027507928620484547,0.07773104021533496,0.4790390652649026
GBPUSD,2012-10-15,287,9.670186536111814e-06,0.019206217149817375,0.0558971869317248,0.4030258240854752
GBPUSD,2012-10-16,287,1.2662245023556845e-05,0.025056276667948053,0.06505126301274913,0.4802745293003276
GBPUSD,2012-10-17,287,1.0975992929643684e-05,0.04877701039885771,0.1898426756442193,0.4883066655124498
GBPUSD,2012-10-18,287,1.7046544598303722e-05,0.06096574371431751,0.2022933871612587,0.5241645076072533
GBPUSD,2012-10-19,251,1.0678689713332913e-05,0.029409492326292905,0.11132548941061861,0.46203686535115895
GBPUSD,2012-10-22,287,7.761953507703015e-06,0.016704757347618348,0.05950106096432495,0.3542634790385871
GBPUSD,2012-10-23,287,1.025703311490034e-05,0.05655847316687903,0.20569554487345051,0.5336714936996656
GBPUSD,2012-10-24,287,1.4916857479571405e-05,0.030068718320243423,0.10655415126420877,0.479784990055471
GBPUSD,2012-10-25,287,1.634705978981558e-05,0.051338010128233184,0.18893706329296994,0.5408514362768223
GBPUSD,2012-10-26,251,9.810079933012753e-06,0.021229812527285084,0.07583450292802232,0.40463748265822147
GBPUSD,2012-10-29,287,1.0401785097573657e-05,0.027580897013239708,0.11436743932764115,0.4310706012245012
GBPUSD,2012-10-30,287,9.234266553004712e-06,0.015542457227779548,0.044479710257503004,0.346606232417448
GBPUSD,2012-10-31,287,8.631257759105485e-06,0.017380868170960007,0.04557996453235098,0.37369129018051767
GBPUSD,2012-11-01,287,9.875794832072614e-06,0.04210180485540663,0.1762700090813327,0.43717133914912276
GBPUSD,2012-11-02,251,1.508696860130617e-05,0.04310173899624944,0.1631548656977428,0.5096022177913093
GBPUSD,2012-11-05,287,8.527861053539311e-06,0.020434324160332376,0.08380697982079313,0.37301056465962695
GBPUSD,2012-11-06,287,6.07493187149946e-06,0.012812380384694531,0.041281114092861754,0.28980848804145776
GBPUSD,2012-11-07,287,1.3194555455532451e-05,0.020977462339945793,0.07968541266834024,0.4013238115188284
GBPUSD,2012-11-08,287,1.3266642845769436e-05,0.04983909507528232,0.1878241124281017,0.5331934874103174
GBPUSD,2012-11-09,263,1.2149527786199986e-05,0.022349505719981615,0.08223987748026768,0.378303715775285
GBPUSD,2012-11-12,287,7.477893354528346e-06,0.024413528062214578,0.07007229290245703,0.4712499889578821
GBPUSD,2012-11-13,287,9.839011578256205e-06,0.01822945144136691,0.05991442152629875,0.37668562204514844
GBPUSD,2012-11-14,287,1.1754452584362744e-05,0.031222617901427236,0.11913382003006046,0.45566882134875814
GBPUSD,2012-11-15,287,1.0751104117153488e-05,0.01530334467453969,0.0481838119067809,0.33174862324401394
GBPUSD,2012-11-16,263,1.4369002089652542e-05,0.02725867788904534,0.08675496846546264,0.4748178586741844
GBPUSD,2012-11-19,287,8.268386788764206e-06,0.017564945846766804,0.08594893051059857,0.32485710328953415
GBPUSD,2012-11-20,287,9.658966825495361e-06,0.01831657228319356,0.058824283220168735,0.3897791862652464
GBPUSD,2012-11-21,287,9.091857236110562e-06,0.019171496755191447,0.06675095141105476,0.3811853196870119
GBPUSD,2012-11-22,287,9.234859718771501e-06,0.024947384539029834,0.09605435088349283,0.41985940162180957
GBPUSD,2012-11-23,263,1.0488848465631146e-05,0.02371430878511909,0.0791838605267676,0.4202009166668722
GBPUSD,2012-11-26,287,8.690549894464747e-06,0.02230920572442427,0.07017944042906257,0.41813692562948596
GBPUSD,2012-11-27,287,8.605468603828136e-06,0.027704081632621953,0.09641880427080167,0.47595825594135316
GBPUSD,2012-11-28,287,9.492770890334633e-06,0.023314249433246025,0.0965850170544962,0.40865891918817104
GBPUSD,2012-11-29,287,8.867314734878203e-06,0.024730970017673742,0.09348994105084331,0.42507901204763343
GBPUSD,2012-11-30,263,1.3830138052551717e-05,0.04750256169162516,0.16238565758347573,0.5576470458270646
GBPUSD,2012-12-03,287,8.901817894357054e-06,0.0382122538483741,0.160358542978406,0.47348762267212874
GBPUSD,2012-12-04,287,6.958252212356863e-06,0.018365504169268493,0.07460990173290204,0.3589986302839603
GBPUSD,2012-12-05,287,8.896917090938165e-06,0.020788594546891748,0.07330809336616698,0.38885576824499146
GBPUSD,2012-12-06,287,8.014097544382753e-06,0.01928887189447532,0.0756082203671496,0.3762085457987548
GBPUSD,2012-12-07,263,6.6497670489321e-06,0.01823398346414448,0.05738308589287602,0.3712829283262784
